Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/10/2025	09:31:21	1.12	1.15	26927.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/10/2025	09:21:21	1.12	1.12	26927.5	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/10/2025	09:11:21	1.12	1.12	26927.3	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	09:01:21	1.12	1.12	26927.1	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	08:51:21	1.12	1.12	26926.9	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	08:41:21	1.12	1.12	26926.7	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	08:31:21	1.12	1.12	26926.6	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/10/2025	08:21:21	1.12	1.12	26926.4	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	08:11:21	1.12	1.12	26926.2	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	08:01:21	1.12	1.12	26926.0	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	07:51:21	1.12	1.12	26925.8	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	07:41:21	1.12	1.12	26925.6	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	07:31:21	1.12	1.12	26925.5	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	07:21:21	1.10	1.12	26925.3	   	   	5.1	5.2	2.1	3.1	2.1	3.2	
02/10/2025	07:11:21	1.10	1.12	26925.1	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	07:01:21	1.10	1.12	26924.9	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	06:51:20	1.10	1.12	26924.7	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	06:41:20	1.10	1.12	26924.5	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	06:31:20	1.10	1.12	26924.4	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	06:21:20	1.10	1.10	26924.2	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/10/2025	06:11:20	1.10	1.10	26924.0	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/10/2025	06:01:20	1.10	1.10	26923.8	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/10/2025	05:51:20	1.10	1.10	26923.6	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	05:41:20	1.10	1.10	26923.5	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	05:31:20	1.10	1.12	26923.3	   	   	5.1	5.2	2.1	3.0	2.1	3.1	
02/10/2025	05:21:20	1.10	1.10	26923.1	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	05:11:20	1.10	1.10	26922.9	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	05:01:20	1.10	1.10	26922.7	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	04:51:20	1.10	1.10	26922.6	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/10/2025	04:41:20	1.08	1.10	26922.4	   	   	5.0	5.1	2.1	3.0	2.1	3.1	
