Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/10/2025	17:54:56	0.63	0.63	12679.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	17:44:56	0.63	0.63	12679.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	17:34:56	0.63	0.63	12679.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	17:24:56	0.63	0.63	12679.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	17:14:56	0.63	0.63	12679.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	17:04:56	0.63	0.63	12679.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:54:56	0.63	0.63	12679.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:44:56	0.63	0.63	12679.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:34:56	0.63	0.63	12679.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:24:56	0.63	0.63	12678.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:14:56	0.63	0.63	12678.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	16:04:55	0.63	0.63	12678.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:54:55	0.63	0.63	12678.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:44:55	0.63	0.63	12678.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:34:55	0.63	0.63	12678.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:24:55	0.63	0.63	12678.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:14:55	0.63	0.63	12678.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	15:04:55	0.63	0.63	12678.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	14:54:55	0.63	0.63	12678.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	14:44:55	0.63	0.63	12677.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
